winner,pasos,duration,pair,mode_gato,mode_raton,seed
raton,7,3.254100010963157e-05,G_random vs R_astar,random,astar,0
raton,5,1.2208000043756329e-05,G_random vs R_astar,random,astar,1
raton,5,9.83400059340056e-06,G_random vs R_astar,random,astar,2
raton,7,1.3291999493958429e-05,G_random vs R_astar,random,astar,3
raton,7,1.304199940932449e-05,G_random vs R_astar,random,astar,4
raton,5,7.624999852851033e-06,G_random vs R_astar,random,astar,5
raton,3,4.2909996409434825e-06,G_random vs R_astar,random,astar,6
gato,7,1.704199894447811e-05,G_random vs R_astar,random,astar,7
raton,7,1.3875000149710104e-05,G_random vs R_astar,random,astar,8
raton,3,5.292000423651189e-06,G_random vs R_astar,random,astar,9
raton,5,7.33299930288922e-06,G_random vs R_astar,random,astar,10
gato,3,4.124998667975888e-06,G_random vs R_astar,random,astar,11
raton,5,6.709000444971025e-06,G_random vs R_astar,random,astar,12
raton,7,1.0042000212706625e-05,G_random vs R_astar,random,astar,13
raton,7,1.4000001101521775e-05,G_random vs R_astar,random,astar,14
raton,11,1.9625000277301297e-05,G_random vs R_astar,random,astar,15
gato,5,9.750001481734216e-06,G_random vs R_astar,random,astar,16
raton,5,8.457998774247244e-06,G_random vs R_astar,random,astar,17
gato,9,1.2541000614874065e-05,G_random vs R_astar,random,astar,18
raton,5,8.500001058564521e-06,G_random vs R_astar,random,astar,19
gato,4,7.333001121878624e-06,G_astar vs R_random,astar,random,1000
gato,2,2.3749998945277184e-06,G_astar vs R_random,astar,random,1001
gato,6,1.0125000699190423e-05,G_astar vs R_random,astar,random,1002
gato,2,2.3749998945277184e-06,G_astar vs R_random,astar,random,1003
gato,4,5.333000444807112e-06,G_astar vs R_random,astar,random,1004
gato,4,7.58399983169511e-06,G_astar vs R_random,astar,random,1005
gato,2,2.125001628883183e-06,G_astar vs R_random,astar,random,1006
gato,8,1.3957998817204498e-05,G_astar vs R_random,astar,random,1007
gato,2,2.2500007617054507e-06,G_astar vs R_random,astar,random,1008
gato,8,1.541700112284161e-05,G_astar vs R_random,astar,random,1009
gato,2,2.291999408043921e-06,G_astar vs R_random,astar,random,1010
gato,4,5.1249990065116435e-06,G_astar vs R_random,astar,random,1011
gato,2,2.458000381011516e-06,G_astar vs R_random,astar,random,1012
gato,4,7.124999683583155e-06,G_astar vs R_random,astar,random,1013
gato,10,1.5749999874969944e-05,G_astar vs R_random,astar,random,1014
gato,2,3.167000613757409e-06,G_astar vs R_random,astar,random,1015
gato,2,2.208000296377577e-06,G_astar vs R_random,astar,random,1016
gato,4,6.750000466126949e-06,G_astar vs R_random,astar,random,1017
gato,6,1.0457999451318756e-05,G_astar vs R_random,astar,random,1018
gato,4,5.583000529441051e-06,G_astar vs R_random,astar,random,1019
raton,5,0.00016870800027390942,G_minmax vs R_astar,minimax,astar,2000
gato,7,7.341699893004261e-05,G_minmax vs R_astar,minimax,astar,2001
raton,7,0.00011699999959091656,G_minmax vs R_astar,minimax,astar,2002
raton,7,0.00014274999921326526,G_minmax vs R_astar,minimax,astar,2003
raton,5,7.841700062272139e-05,G_minmax vs R_astar,minimax,astar,2004
raton,9,0.00018562500008556526,G_minmax vs R_astar,minimax,astar,2005
gato,5,6.81669989717193e-05,G_minmax vs R_astar,minimax,astar,2006
raton,5,0.0001539170007163193,G_minmax vs R_astar,minimax,astar,2007
gato,9,0.00018208300025435165,G_minmax vs R_astar,minimax,astar,2008
raton,7,0.00011287499910395127,G_minmax vs R_astar,minimax,astar,2009
raton,9,0.00020070900063728914,G_minmax vs R_astar,minimax,astar,2010
gato,5,6.145800034573767e-05,G_minmax vs R_astar,minimax,astar,2011
raton,7,0.00010924999878625385,G_minmax vs R_astar,minimax,astar,2012
raton,5,0.00011570900096558034,G_minmax vs R_astar,minimax,astar,2013
raton,5,5.5917000281624496e-05,G_minmax vs R_astar,minimax,astar,2014
raton,5,7.850000110920519e-05,G_minmax vs R_astar,minimax,astar,2015
raton,3,3.083299998252187e-05,G_minmax vs R_astar,minimax,astar,2016
raton,7,0.00019195799904991873,G_minmax vs R_astar,minimax,astar,2017
gato,5,8.98750004125759e-05,G_minmax vs R_astar,minimax,astar,2018
raton,9,0.00021824999930686317,G_minmax vs R_astar,minimax,astar,2019
raton,5,0.00019766600053117145,G_random vs R_minmax,random,minimax,3000
empate,200,0.003231624999898486,G_random vs R_minmax,random,minimax,3001
empate,200,0.0034764579995680833,G_random vs R_minmax,random,minimax,3002
raton,17,0.00028295800075284205,G_random vs R_minmax,random,minimax,3003
raton,25,0.0005074159998912364,G_random vs R_minmax,random,minimax,3004
empate,200,0.0032715420002205065,G_random vs R_minmax,random,minimax,3005
raton,3,0.00011816699952760246,G_random vs R_minmax,random,minimax,3006
empate,200,0.003472749998763902,G_random vs R_minmax,random,minimax,3007
empate,200,0.0031960420001269085,G_random vs R_minmax,random,minimax,3008
raton,31,0.0005328329989424674,G_random vs R_minmax,random,minimax,3009
empate,200,0.0029860419999749865,G_random vs R_minmax,random,minimax,3010
empate,200,0.0030458330002147704,G_random vs R_minmax,random,minimax,3011
empate,200,0.003161874999932479,G_random vs R_minmax,random,minimax,3012
empate,200,0.0029290829988894984,G_random vs R_minmax,random,minimax,3013
empate,200,0.003035708999959752,G_random vs R_minmax,random,minimax,3014
empate,200,0.002908832999310107,G_random vs R_minmax,random,minimax,3015
empate,200,0.002945209000245086,G_random vs R_minmax,random,minimax,3016
empate,200,0.0029423329997371184,G_random vs R_minmax,random,minimax,3017
empate,200,0.003011875000083819,G_random vs R_minmax,random,minimax,3018
