winner,pasos,duration,pair,mode_gato,mode_raton,seed
raton,7,2.3500004317611456e-05,G_random vs R_astar,random,astar,0
raton,5,1.2166972737759352e-05,G_random vs R_astar,random,astar,1
raton,5,1.0957999620586634e-05,G_random vs R_astar,random,astar,2
raton,7,1.4459015801548958e-05,G_random vs R_astar,random,astar,3
raton,7,1.5375029761344194e-05,G_random vs R_astar,random,astar,4
raton,5,1.1166965123265982e-05,G_random vs R_astar,random,astar,5
raton,3,5.499983672052622e-06,G_random vs R_astar,random,astar,6
gato,7,1.9625003915280104e-05,G_random vs R_astar,random,astar,7
raton,7,2.091703936457634e-05,G_random vs R_astar,random,astar,8
raton,3,7.2499969974160194e-06,G_random vs R_astar,random,astar,9
raton,5,9.790994226932526e-06,G_random vs R_astar,random,astar,10
gato,3,5.665991920977831e-06,G_random vs R_astar,random,astar,11
raton,5,8.958042599260807e-06,G_random vs R_astar,random,astar,12
raton,7,1.3249984476715326e-05,G_random vs R_astar,random,astar,13
raton,7,1.8250022549182177e-05,G_random vs R_astar,random,astar,14
raton,11,2.479099202901125e-05,G_random vs R_astar,random,astar,15
gato,5,1.2749980669468641e-05,G_random vs R_astar,random,astar,16
raton,5,1.1334021110087633e-05,G_random vs R_astar,random,astar,17
gato,9,1.733400858938694e-05,G_random vs R_astar,random,astar,18
raton,5,1.1417025234550238e-05,G_random vs R_astar,random,astar,19
gato,4,8.291972335428e-06,G_astar vs R_random,astar,random,1000
gato,2,2.834014594554901e-06,G_astar vs R_random,astar,random,1001
gato,6,1.333397813141346e-05,G_astar vs R_random,astar,random,1002
gato,2,3.167020622640848e-06,G_astar vs R_random,astar,random,1003
gato,4,7.333001121878624e-06,G_astar vs R_random,astar,random,1004
gato,4,9.875046089291573e-06,G_astar vs R_random,astar,random,1005
gato,2,3.04199056699872e-06,G_astar vs R_random,astar,random,1006
gato,8,1.8708000425249338e-05,G_astar vs R_random,astar,random,1007
gato,2,3.125052899122238e-06,G_astar vs R_random,astar,random,1008
gato,8,2.804200630635023e-05,G_astar vs R_random,astar,random,1009
gato,2,3.167020622640848e-06,G_astar vs R_random,astar,random,1010
gato,4,7.166992872953415e-06,G_astar vs R_random,astar,random,1011
gato,2,3.292050678282976e-06,G_astar vs R_random,astar,random,1012
gato,4,9.66701190918684e-06,G_astar vs R_random,astar,random,1013
gato,10,2.179195871576667e-05,G_astar vs R_random,astar,random,1014
gato,2,4.542001988738775e-06,G_astar vs R_random,astar,random,1015
gato,2,3.2500247471034527e-06,G_astar vs R_random,astar,random,1016
gato,4,9.459035936743021e-06,G_astar vs R_random,astar,random,1017
gato,6,1.3459008187055588e-05,G_astar vs R_random,astar,random,1018
gato,4,7.790978997945786e-06,G_astar vs R_random,astar,random,1019
raton,5,0.00018708303105086088,G_minmax vs R_astar,minimax,astar,2000
gato,7,8.266704389825463e-05,G_minmax vs R_astar,minimax,astar,2001
raton,7,0.00013158301590010524,G_minmax vs R_astar,minimax,astar,2002
raton,7,0.00017224997282028198,G_minmax vs R_astar,minimax,astar,2003
